#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Ë®
helium_3                                          (nuclearcraft:fluid_helium_3)                                                    = º¤-3
helium                                            (nuclearcraft:fluid_helium)                                                      = º¤
boron_10                                          (nuclearcraft:fluid_boron_10)                                                    = ÈÛÈÚÅğ-10
boron_11                                          (nuclearcraft:fluid_boron_11)                                                    = ÈÛÈÚÅğ-11
lithium_6                                         (nuclearcraft:fluid_lithium_6)                                                   = ÈÛÈÚï®-6
lithium_7                                         (nuclearcraft:fluid_lithium_7)                                                   = ÈÛÈÚï®-7
ferroboron                                        (nuclearcraft:fluid_ferroboron)                                                  = ÈÛÈÚÅğÌúºÏ½ğ
tough                                             (nuclearcraft:fluid_tough)                                                       = ÈÛÈÚ¸ßÇ¿ºÏ½ğ
hard_carbon                                       (nuclearcraft:fluid_hard_carbon)                                                 = ÈÛÈÚÓ²Ì¼ºÏ½ğ
beryllium                                         (nuclearcraft:fluid_beryllium)                                                   = ÈÛÈÚîë
zirconium                                         (nuclearcraft:fluid_zirconium)                                                   = ÈÛÈÚï¯
manganese_dioxide                                 (nuclearcraft:fluid_manganese_dioxide)                                           = ÈÛÈÚ¶şÑõ»¯ÃÌ
sulfur                                            (nuclearcraft:fluid_sulfur)                                                      = ÈÛÈÚÁò
liquid_helium                                     (nuclearcraft:fluid_liquid_helium)                                               = Òºº¤
liquid_nitrogen                                   (nuclearcraft:fluid_liquid_nitrogen)                                             = Òºµª
heavy_water                                       (nuclearcraft:fluid_heavy_water)                                                 = ÖØË®
lead_platinum                                     (nuclearcraft:fluid_lead_platinum)                                               = ÈÛÈÚÇ¦²¬ºÏ½ğ
plasma                                            (nuclearcraft:fluid_plasma)                                                      = µÈÀë×ÓÌå
ethanol                                           (nuclearcraft:fluid_ethanol)                                                     = ÒÒ´¼
methanol                                          (nuclearcraft:fluid_methanol)                                                    = ¼×´¼
radaway                                           (nuclearcraft:fluid_radaway)                                                     = ¿¹·øÄşÁ÷Ìå
radaway_slow                                      (nuclearcraft:fluid_radaway_slow)                                                = »ºĞ§¿¹·øÄşÁ÷Ìå
redstone_ethanol                                  (nuclearcraft:fluid_redstone_ethanol)                                            = ×¢ºìÊ¯ÒÒ´¼
nitrogen                                          (nuclearcraft:fluid_nitrogen)                                                    = µª
fluorine                                          (nuclearcraft:fluid_fluorine)                                                    = ·ú
carbon_dioxide                                    (nuclearcraft:fluid_carbon_dioxide)                                              = ¶şÑõ»¯Ì¼
carbon_monoxide                                   (nuclearcraft:fluid_carbon_monoxide)                                             = Ò»Ñõ»¯Ì¼
ethene                                            (nuclearcraft:fluid_ethene)                                                      = ÒÒÏ©
fluoromethane                                     (nuclearcraft:fluid_fluoromethane)                                               = ·ú¼×Íé
ammonia                                           (nuclearcraft:fluid_ammonia)                                                     = °±
oxygen_difluoride                                 (nuclearcraft:fluid_oxygen_difluoride)                                           = ¶ş·ú»¯Ñõ
diborane                                          (nuclearcraft:fluid_diborane)                                                    = ÒÒÅğÍé
sulfur_dioxide                                    (nuclearcraft:fluid_sulfur_dioxide)                                              = ¶şÑõ»¯Áò
sulfur_trioxide                                   (nuclearcraft:fluid_sulfur_trioxide)                                             = ÈıÑõ»¯Áò
hydrofluoric_acid                                 (nuclearcraft:fluid_hydrofluoric_acid)                                           = Çâ·úËá
boric_acid                                        (nuclearcraft:fluid_boric_acid)                                                  = ÅğËá
sulfuric_acid                                     (nuclearcraft:fluid_sulfuric_acid)                                               = ÁòËá
boron_nitride_solution                            (nuclearcraft:fluid_boron_nitride_solution)                                      = µª»¯ÅğÈÜÒº
fluorite_water                                    (nuclearcraft:fluid_fluorite_water)                                              = ·úÊ¯ÈÜÒº
calcium_sulfate_solution                          (nuclearcraft:fluid_calcium_sulfate_solution)                                    = ÁòËá¸ÆÈÜÒº
sodium_fluoride_solution                          (nuclearcraft:fluid_sodium_fluoride_solution)                                    = ·ú»¯ÄÆÈÜÒº
potassium_fluoride_solution                       (nuclearcraft:fluid_potassium_fluoride_solution)                                 = ·ú»¯¼ØÈÜÒº
sodium_hydroxide_solution                         (nuclearcraft:fluid_sodium_hydroxide_solution)                                   = ÇâÑõ»¯ÄÆÈÜÒº
potassium_hydroxide_solution                      (nuclearcraft:fluid_potassium_hydroxide_solution)                                = ÇâÑõ»¯¼ØÈÜÒº
borax_solution                                    (nuclearcraft:fluid_borax_solution)                                              = ÅğÉ°ÈÜÒº
irradiated_borax_solution                         (nuclearcraft:fluid_irradiated_borax_solution)                                   = ·øÕÕÅğÉ°ÈÜÒº
corium                                            (nuclearcraft:fluid_corium)                                                      = ¶ÑĞ¾ÈÛÈÚÎï
ice                                               (nuclearcraft:fluid_ice)                                                         = Ëé±ù
slurry_ice                                        (nuclearcraft:fluid_slurry_ice)                                                  = Äà×´±ù
chocolate_liquor                                  (nuclearcraft:fluid_chocolate_liquor)                                            = ¿É¿É½¬
cocoa_butter                                      (nuclearcraft:fluid_cocoa_butter)                                                = ¿É¿ÉÖ¬
unsweetened_chocolate                             (nuclearcraft:fluid_unsweetened_chocolate)                                       = ÈÛ»¯ÎŞÌÇÇÉ¿ËÁ¦
dark_chocolate                                    (nuclearcraft:fluid_dark_chocolate)                                              = ÈÛ»¯ºÚÇÉ¿ËÁ¦
milk_chocolate                                    (nuclearcraft:fluid_milk_chocolate)                                              = ÈÛ»¯Å£ÄÌÇÉ¿ËÁ¦
sugar                                             (nuclearcraft:fluid_sugar)                                                       = ÌÇÒº
gelatin                                           (nuclearcraft:fluid_gelatin)                                                     = ÈÛÈÚÃ÷½º
hydrated_gelatin                                  (nuclearcraft:fluid_hydrated_gelatin)                                            = Ë®ºÏÃ÷½º
marshmallow                                       (nuclearcraft:fluid_marshmallow)                                                 = ÈÜÌÇË¿
lif                                               (nuclearcraft:fluid_lif)                                                         = ÈÛÈÚ·ú»¯ï®
bef2                                              (nuclearcraft:fluid_bef2)                                                        = ÈÛÈÚ·ú»¯îë
flibe                                             (nuclearcraft:fluid_flibe)                                                       = ÈÛÈÚ·úï®îëÑÎ»ìºÏÎï
naoh                                              (nuclearcraft:fluid_naoh)                                                        = ÈÛÈÚÇâÑõ»¯ÄÆ
koh                                               (nuclearcraft:fluid_koh)                                                         = ÈÛÈÚÇâÑõ»¯¼Ø
high_pressure_steam                               (nuclearcraft:fluid_high_pressure_steam)                                         = ¸ßÑ¹ÕôÆû
exhaust_steam                                     (nuclearcraft:fluid_exhaust_steam)                                               = ·ÏÕôÆû
low_pressure_steam                                (nuclearcraft:fluid_low_pressure_steam)                                          = µÍÑ¹ÕôÆû
low_quality_steam                                 (nuclearcraft:fluid_low_quality_steam)                                           = µÍÖÊÕôÆû
preheated_water                                   (nuclearcraft:fluid_preheated_water)                                             = Ô¤ÈÈË®
condensate_water                                  (nuclearcraft:fluid_condensate_water)                                            = ÀäÄıË®
nak                                               (nuclearcraft:fluid_nak)                                                         = ¹²¾§ÄÆ¼ØºÏ½ğ
nak_hot                                           (nuclearcraft:fluid_nak_hot)                                                     = ÈÈ¹²¾§ÄÆ¼ØºÏ½ğ
emergency_coolant                                 (nuclearcraft:fluid_emergency_coolant)                                           = Ó¦¼±ÀäÈ´Òº
emergency_coolant_heated                          (nuclearcraft:fluid_emergency_coolant_heated)                                    = ¸ßÎÂÓ¦¼±ÀäÈ´Òº
arsenic                                           (nuclearcraft:fluid_arsenic)                                                     = ÉéÕôÆû
bas                                               (nuclearcraft:fluid_bas)                                                         = ÈÛÈÚÉé»¯Åğ
sic_vapor                                         (nuclearcraft:fluid_sic_vapor)                                                   = Ì¼»¯¹èÕôÆû
alugentum                                         (nuclearcraft:fluid_alugentum)                                                   = ÈÛÈÚÒøÂÁ
alumina                                           (nuclearcraft:fluid_alumina)                                                     = ÈÛÈÚÌú·¯ÍÁ
strontium_90                                      (nuclearcraft:fluid_strontium_90)                                                = ÈÛÈÚïÈ-90
molybdenum                                        (nuclearcraft:fluid_molybdenum)                                                  = ÈÛÈÚîâ
ruthenium_106                                     (nuclearcraft:fluid_ruthenium_106)                                               = ÈÛÈÚîÉ-106
caesium_137                                       (nuclearcraft:fluid_caesium_137)                                                 = ÈÛÈÚï¤-137
promethium_147                                    (nuclearcraft:fluid_promethium_147)                                              = ÈÛÈÚîŞ-147
europium_155                                      (nuclearcraft:fluid_europium_155)                                                = ÈÛÈÚîğ-155
thorium                                           (tconstruct:molten_thorium)                                                      = ÈÛÈÚîÊ
uranium                                           (tconstruct:molten_uranium)                                                      = ÈÛÈÚÓË
uranium_233                                       ([no block])                                                                     = ÈÛÈÚÓË-233
uranium_235                                       ([no block])                                                                     = ÈÛÈÚÓË-235
uranium_238                                       ([no block])                                                                     = ÈÛÈÚÓË-238
neptunium_236                                     ([no block])                                                                     = ÈÛÈÚïÕ-236
neptunium_237                                     ([no block])                                                                     = ÈÛÈÚïÕ-237
plutonium_238                                     ([no block])                                                                     = ÈÛÈÚîĞ-238
plutonium_239                                     ([no block])                                                                     = ÈÛÈÚîĞ-239
plutonium_241                                     ([no block])                                                                     = ÈÛÈÚîĞ-241
plutonium_242                                     ([no block])                                                                     = ÈÛÈÚîĞ-242
americium_241                                     ([no block])                                                                     = ÈÛÈÚïÑ-241
americium_242                                     ([no block])                                                                     = ÈÛÈÚïÑ-242
americium_243                                     ([no block])                                                                     = ÈÛÈÚïÑ-243
curium_243                                        ([no block])                                                                     = ÈÛÈÚï¸-243
curium_245                                        ([no block])                                                                     = ÈÛÈÚï¸-245
curium_246                                        ([no block])                                                                     = ÈÛÈÚï¸-246
curium_247                                        ([no block])                                                                     = ÈÛÈÚï¸-247
berkelium_247                                     ([no block])                                                                     = ÈÛÈÚïÂ-247
berkelium_248                                     ([no block])                                                                     = ÈÛÈÚïÂ-248
californium_249                                   ([no block])                                                                     = ÈÛÈÚï´-249
californium_250                                   ([no block])                                                                     = ÈÛÈÚï´-250
californium_251                                   ([no block])                                                                     = ÈÛÈÚï´-251
californium_252                                   ([no block])                                                                     = ÈÛÈÚï´-252
tbu                                               ([no block])                                                                     = ÈÛÈÚîÊ-ÔöÖ³ÓË
tbu_fluoride                                      ([no block])                                                                     = ÈÛÈÚîÊ-ÔöÖ³ÓË ·ú»¯Îï
tbu_fluoride_flibe                                ([no block])                                                                     = ÈÛÈÚîÊ-ÔöÖ³ÓË ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
leu_233                                           ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõÓË-233
leu_233_fluoride                                  ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõÓË-233 ·ú»¯Îï
leu_233_fluoride_flibe                            ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõÓË-233 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
heu_233                                           ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõÓË-233
heu_233_fluoride                                  ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõÓË-233 ·ú»¯Îï
heu_233_fluoride_flibe                            ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõÓË-233 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
leu_235                                           ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõÓË-235
leu_235_fluoride                                  ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõÓË-235 ·ú»¯Îï
leu_235_fluoride_flibe                            ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõÓË-235 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
heu_235                                           ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõÓË-235
heu_235_fluoride                                  ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõÓË-235 ·ú»¯Îï
heu_235_fluoride_flibe                            ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõÓË-235 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
len_236                                           ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõïÕ-236
len_236_fluoride                                  ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõïÕ-236 ·ú»¯Îï
len_236_fluoride_flibe                            ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõïÕ-236 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
hen_236                                           ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõïÕ-236
hen_236_fluoride                                  ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõïÕ-236 ·ú»¯Îï
hen_236_fluoride_flibe                            ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõïÕ-236 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
lep_239                                           ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõîĞ-239
lep_239_fluoride                                  ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõîĞ-239 ·ú»¯Îï
lep_239_fluoride_flibe                            ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõîĞ-239 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
hep_239                                           ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõîĞ-239
hep_239_fluoride                                  ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõîĞ-239 ·ú»¯Îï
hep_239_fluoride_flibe                            ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõîĞ-239 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
lep_241                                           ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõîĞ-241
lep_241_fluoride                                  ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõîĞ-241 ·ú»¯Îï
lep_241_fluoride_flibe                            ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõîĞ-241 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
hep_241                                           ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõîĞ-241
hep_241_fluoride                                  ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõîĞ-241 ·ú»¯Îï
hep_241_fluoride_flibe                            ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõîĞ-241 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
mix_239                                           ([no block])                                                                     = ÈÛÈÚ»ìºÏÈ¼ÁÏ-239
mix_239_fluoride                                  ([no block])                                                                     = ÈÛÈÚ»ìºÏÈ¼ÁÏ·ú»¯Îï-239
mix_239_fluoride_flibe                            ([no block])                                                                     = ÈÛÈÚ»ìºÏÈ¼ÁÏ·ú»¯Îï-239
mix_241                                           ([no block])                                                                     = ÈÛÈÚ»ìºÏÈ¼ÁÏ-241
mix_241_fluoride                                  ([no block])                                                                     = ÈÛÈÚ»ìºÏÈ¼ÁÏ·ú»¯Îï-241
mix_241_fluoride_flibe                            ([no block])                                                                     = ÈÛÈÚ»ìºÏÈ¼ÁÏ·ú»¯Îï-241
lea_242                                           ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõïÑ-242
lea_242_fluoride                                  ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõïÑ-242 ·ú»¯Îï
lea_242_fluoride_flibe                            ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõïÑ-242 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
hea_242                                           ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõïÑ-242
hea_242_fluoride                                  ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõïÑ-242 ·ú»¯Îï
hea_242_fluoride_flibe                            ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõïÑ-242 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
lecm_243                                          ([no block])                                                                     = ÈÛÈÚµÍÅ¨Ëõï¸-243
lecm_243_fluoride                                 ([no block])                                                                     = ÈÛÈÚµÍÅ¨Ëõï¸-243 ·ú»¯Îï
lecm_243_fluoride_flibe                           ([no block])                                                                     = ÈÛÈÚµÍÅ¨Ëõï¸-243 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
hecm_243                                          ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨Ëõï¸-243
hecm_243_fluoride                                 ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨Ëõï¸-243 ·ú»¯Îï
hecm_243_fluoride_flibe                           ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨Ëõï¸-243 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
lecm_245                                          ([no block])                                                                     = ÈÛÈÚµÍÅ¨Ëõï¸-245
lecm_245_fluoride                                 ([no block])                                                                     = ÈÛÈÚµÍÅ¨Ëõï¸-245 ·ú»¯Îï
lecm_245_fluoride_flibe                           ([no block])                                                                     = ÈÛÈÚµÍÅ¨Ëõï¸-245 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
hecm_245                                          ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨Ëõï¸-245
hecm_245_fluoride                                 ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨Ëõï¸-245 ·ú»¯Îï
hecm_245_fluoride_flibe                           ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨Ëõï¸-245 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
lecm_247                                          ([no block])                                                                     = ÈÛÈÚµÍÅ¨Ëõï¸-247
lecm_247_fluoride                                 ([no block])                                                                     = ÈÛÈÚµÍÅ¨Ëõï¸-247 ·ú»¯Îï
lecm_247_fluoride_flibe                           ([no block])                                                                     = ÈÛÈÚµÍÅ¨Ëõï¸-247 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
hecm_247                                          ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨Ëõï¸-247
hecm_247_fluoride                                 ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨Ëõï¸-247 ·ú»¯Îï
hecm_247_fluoride_flibe                           ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨Ëõï¸-247 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
leb_248                                           ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõïÂ-248
leb_248_fluoride                                  ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõïÂ-248 ·ú»¯Îï
leb_248_fluoride_flibe                            ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõïÂ-248 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
heb_248                                           ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõïÂ-248
heb_248_fluoride                                  ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõïÂ-248 ·ú»¯Îï
heb_248_fluoride_flibe                            ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõïÂ-248 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
lecf_249                                          ([no block])                                                                     = ÈÛÈÚµÍÅ¨Ëõï´-249
lecf_249_fluoride                                 ([no block])                                                                     = ÈÛÈÚµÍÅ¨Ëõï´-249 ·ú»¯Îï
lecf_249_fluoride_flibe                           ([no block])                                                                     = ÈÛÈÚµÍÅ¨Ëõï´-249 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
hecf_249                                          ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨Ëõï´-249
hecf_249_fluoride                                 ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨Ëõï´-249 ·ú»¯Îï
hecf_249_fluoride_flibe                           ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨Ëõï´-249 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
lecf_251                                          ([no block])                                                                     = ÈÛÈÚµÍÅ¨Ëõï´-251
lecf_251_fluoride                                 ([no block])                                                                     = ÈÛÈÚµÍÅ¨Ëõï´-251 ·ú»¯Îï
lecf_251_fluoride_flibe                           ([no block])                                                                     = ÈÛÈÚµÍÅ¨Ëõï´-251 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
hecf_251                                          ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨Ëõï´-251
hecf_251_fluoride                                 ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨Ëõï´-251 ·ú»¯Îï
hecf_251_fluoride_flibe                           ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨Ëõï´-251 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
depleted_tbu                                      ([no block])                                                                     = ÈÛÈÚ¿İ½ßîÊ-ÔöÖ³ÓËÈ¼ÁÏ
depleted_tbu_fluoride                             ([no block])                                                                     = ÈÛÈÚ¿İ½ßîÊ-ÔöÖ³ÓË ·ú»¯Îï
depleted_tbu_fluoride_flibe                       ([no block])                                                                     = ÈÛÈÚ¿İ½ßîÊ-ÔöÖ³ÓË ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
depleted_leu_233                                  ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõÓË-233
depleted_leu_233_fluoride                         ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõÓË-233 ·ú»¯Îï
depleted_leu_233_fluoride_flibe                   ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõÓË-233 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
depleted_heu_233                                  ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõÓË-233
depleted_heu_233_fluoride                         ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõÓË-233 ·ú»¯Îï
depleted_heu_233_fluoride_flibe                   ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõÓË-233 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
depleted_leu_235                                  ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõÓË-235
depleted_leu_235_fluoride                         ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõÓË-235 ·ú»¯Îï
depleted_leu_235_fluoride_flibe                   ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõÓË-235 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
depleted_heu_235                                  ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõÓË-235
depleted_heu_235_fluoride                         ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõÓË-235 ·ú»¯Îï
depleted_heu_235_fluoride_flibe                   ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõÓË-235 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
depleted_len_236                                  ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõïÕ-236
depleted_len_236_fluoride                         ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõïÕ-236 ·ú»¯Îï
depleted_len_236_fluoride_flibe                   ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõïÕ-236 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
depleted_hen_236                                  ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõïÕ-236
depleted_hen_236_fluoride                         ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõïÕ-236 ·ú»¯Îï
depleted_hen_236_fluoride_flibe                   ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõïÕ-236 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
depleted_lep_239                                  ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõîĞ-239
depleted_lep_239_fluoride                         ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõîĞ-239 ·ú»¯Îï
depleted_lep_239_fluoride_flibe                   ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõîĞ-239 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
depleted_hep_239                                  ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõîĞ-239
depleted_hep_239_fluoride                         ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõîĞ-239 ·ú»¯Îï
depleted_hep_239_fluoride_flibe                   ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõîĞ-239 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
depleted_lep_241                                  ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõîĞ-241
depleted_lep_241_fluoride                         ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõîĞ-241 ·ú»¯Îï
depleted_lep_241_fluoride_flibe                   ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõîĞ-241 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
depleted_hep_241                                  ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõîĞ-241
depleted_hep_241_fluoride                         ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõîĞ-241 ·ú»¯Îï
depleted_hep_241_fluoride_flibe                   ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõîĞ-241 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
depleted_mix_239                                  ([no block])                                                                     = ÈÛÈÚ¿İ½ß»ìºÏÈ¼ÁÏ-239
depleted_mix_239_fluoride                         ([no block])                                                                     = ÈÛÈÚ¿İ½ß»ìºÏÈ¼ÁÏ·ú»¯Îï-239
depleted_mix_239_fluoride_flibe                   ([no block])                                                                     = ÈÛÈÚ¿İ½ß»ìºÏÈ¼ÁÏ·ú»¯Îï-239
depleted_mix_241                                  ([no block])                                                                     = ÈÛÈÚ¿İ½ß»ìºÏÈ¼ÁÏ-241
depleted_mix_241_fluoride                         ([no block])                                                                     = ÈÛÈÚ¿İ½ß»ìºÏÈ¼ÁÏ·ú»¯Îï-241
depleted_mix_241_fluoride_flibe                   ([no block])                                                                     = ÈÛÈÚ¿İ½ß»ìºÏÈ¼ÁÏ·ú»¯Îï-241
depleted_lea_242                                  ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõïÑ-242
depleted_lea_242_fluoride                         ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõïÑ-242 ·ú»¯Îï
depleted_lea_242_fluoride_flibe                   ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõïÑ-242 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
depleted_hea_242                                  ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõïÑ-242
depleted_hea_242_fluoride                         ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõïÑ-242 ·ú»¯Îï
